sitio,trilha,ponto,quadrante,dist,cap,q,m,e,rep,onça
CT-RBG-2-96,3,10,4,415,49,,,,,
CT-RBG-2-95,1,50,1,45,39,,,,,
CT-RBG-2-95,1,50,2,305,116,,,,,
CT-RBG-2-95,1,50,3,328,92,,,,,
CT-RBG-2-95,1,50,4,174,47,,,,,
CT-RBG-2-95,1,40,1,311,33,,,,,
CT-RBG-2-95,1,40,2,227,32,,,,,
CT-RBG-2-95,1,40,3,549,34,,,,,
CT-RBG-2-95,1,40,4,583,71,,,,,
CT-RBG-2-95,1,30,1,341,55,,,,,
CT-RBG-2-95,1,30,2,408,52,,,,,
CT-RBG-2-95,1,30,3,163,47,,,,,
CT-RBG-2-95,1,30,4,151,32,,,,,
CT-RBG-2-95,1,20,1,65,61,,,,,
CT-RBG-2-95,1,20,2,506,61,,,,,
CT-RBG-2-95,1,20,3,503,60,,,,,
CT-RBG-2-95,1,20,4,209,44,,,,,
CT-RBG-2-95,1,10,1,125,110,,,,,
CT-RBG-2-95,1,10,2,298,95,,,,,
CT-RBG-2-95,1,10,3,179,41,,,,,
CT-RBG-2-95,1,10,4,314,121,,,,,
CT-RBG-2-95,2,50,1,341,43,,,,,
CT-RBG-2-95,2,50,2,412,37,,,,,
CT-RBG-2-95,2,50,3,409,81,,,,,
CT-RBG-2-95,2,50,4,422,40,,,,,
CT-RBG-2-95,2,40,1,137,34,,,,,
CT-RBG-2-95,2,40,2,209,67,,,,,
CT-RBG-2-95,2,40,3,505,37,,,,,
CT-RBG-2-95,2,40,4,250,37,,,,,
CT-RBG-2-95,2,30,1,130,36,,1,,,
CT-RBG-2-95,2,30,2,215,51,,,,,
CT-RBG-2-95,2,30,3,736,66,,,,,
CT-RBG-2-95,2,30,4,620,72,,,,,
CT-RBG-2-95,2,20,1,718,54,,,,,
CT-RBG-2-95,2,20,2,700,50,,,,,
CT-RBG-2-95,2,20,3,428,72,,,,rep p30 q4,
CT-RBG-2-95,2,20,4,525,83,,,,,
CT-RBG-2-95,2,10,1,129,50,,,,rep p20 q2,
CT-RBG-2-95,2,10,2,102,68,,,,,
CT-RBG-2-95,2,10,3,251,32,,,,,
CT-RBG-2-95,2,10,4,293,64,,,,,
CT-RBG-2-95,3,50,1,50,40,,,,,
CT-RBG-2-95,3,50,2,955,88,,,,,
CT-RBG-2-95,3,50,3,321,180,,,,,
CT-RBG-2-95,3,50,4,297,51,,,,,
CT-RBG-2-95,3,40,1,118,49,,,,,
CT-RBG-2-95,3,40,2,75,46,,,,,
CT-RBG-2-95,3,40,3,211,62,,,,,
CT-RBG-2-95,3,40,4,130,278,,,,,
CT-RBG-2-95,3,30,1,628,41,,,,,
CT-RBG-2-95,3,30,2,570,34,,,,,
CT-RBG-2-95,3,30,3,513,33,,,,,
CT-RBG-2-95,3,30,4,645,57,,,,,
CT-RBG-2-95,3,20,1,241,101,,,,,
CT-RBG-2-95,3,20,2,294,46,,,,,
CT-RBG-2-95,3,20,3,46,132,,,,,
CT-RBG-2-95,3,20,4,483,72,,,,,
CT-RBG-2-95,3,10,1,450,137,,,,,
CT-RBG-2-95,3,10,2,129,73,,,,,
CT-RBG-2-95,3,10,3,288,65,,,,,
CT-RBG-2-95,3,10,4,306,78,,,,,
CT-RBG-2-85,1,50,1,739,35.5,,,,,
CT-RBG-2-85,1,50,2,488,86,,,,,
CT-RBG-2-85,1,50,3,454,71,,,,,
CT-RBG-2-85,1,50,4,641,56.5,,,,,
CT-RBG-2-85,1,40,1,445,40.5,,,,,
CT-RBG-2-85,1,40,2,245,73.5,,,1,,
CT-RBG-2-85,1,40,3,510,37,,,,,
CT-RBG-2-85,1,40,4,451,33.5,,,,,
CT-RBG-2-85,1,30,1,342,49,,,,,
CT-RBG-2-85,1,30,2,262,108,,,,,
CT-RBG-2-85,1,30,3,620,37,,,,,
CT-RBG-2-85,1,30,4,627,69.5,,,,,
CT-RBG-2-85,1,20,1,557,89,,,,,
CT-RBG-2-85,1,20,2,164,70,,,,,
CT-RBG-2-85,1,20,3,585,34,,,,,
CT-RBG-2-85,1,20,4,209,43,,,,,
CT-RBG-2-85,1,10,1,238,58,,,,,
CT-RBG-2-85,1,10,2,445,85.5,,,,,
CT-RBG-2-85,1,10,3,248,63.5,,1,,,
CT-RBG-2-85,1,10,4,258,77.5,,,,,
CT-RBG-2-85,1,50,1,64,34,,,,,
CT-RBG-2-85,2,50,2,216,40,,,,,
CT-RBG-2-85,2,50,3,442,32,,,,,
CT-RBG-2-85,2,50,4,560,46,,,,,
CT-RBG-2-85,2,40,1,500,43.5,,1,1,,
CT-RBG-2-85,2,40,2,446,68,,,,,
CT-RBG-2-85,2,40,3,384,70,,1,1,,
CT-RBG-2-85,2,40,4,362,50,,1,1,,
CT-RBG-2-85,2,30,1,342,57.5,,1,1,,
CT-RBG-2-85,2,30,2,420,45.5,,,,,
CT-RBG-2-85,2,30,3,630,106.5,,,,,
CT-RBG-2-85,2,30,4,340,39,,,,,
CT-RBG-2-85,2,20,1,163,119.5,,,,,
CT-RBG-2-85,2,20,2,435,33.5,,,,,
CT-RBG-2-85,2,20,3,191,37,,,,,
CT-RBG-2-85,2,20,4,136,51.5,,1,1,,
CT-RBG-2-85,2,10,1,186,60,,,1,,
CT-RBG-2-85,2,10,2,721,38.5,,,,,
CT-RBG-2-85,2,10,3,650,83,,,1,,
CT-RBG-2-85,2,10,4,205,40.5,,,,,
CT-RBG-2-85,3,50,1,836,60.5,,,,,
CT-RBG-2-85,3,50,2,423,35,,,,,
CT-RBG-2-85,3,50,3,76,68,,1,,,
CT-RBG-2-85,3,50,4,374,42.5,,,,,
CT-RBG-2-85,3,40,1,83,43.5,,,,,
CT-RBG-2-85,3,40,2,703,108.5,,,,,
CT-RBG-2-85,3,40,3,304,89.5,,,,,
CT-RBG-2-85,3,40,4,220,35,,,,,
CT-RBG-2-85,3,30,1,478,76,,,,,
CT-RBG-2-85,3,30,2,215,44,,,,,
CT-RBG-2-85,3,30,3,750,49,,,,,
CT-RBG-2-85,3,30,4,139,103.5,,,,,
CT-RBG-2-85,3,20,1,750,78,,,,,
CT-RBG-2-85,3,20,2,195,32.5,,,,,
CT-RBG-2-85,3,20,3,128,78.5,,1,,,
CT-RBG-2-85,3,20,4,474,32.5,,,,,
CT-RBG-2-85,3,10,1,407,53.5,,,,,
CT-RBG-2-85,3,10,2,300,78,,,,rep p20 q1,
CT-RBG-2-85,3,10,3,467,42,,,,,
CT-RBG-2-85,3,10,4,0,0,,,,,
CT-RBG-2-84,1,50,1,510,35,,,,,
CT-RBG-2-84,1,50,2,0,0,,,,,
CT-RBG-2-84,1,50,3,0,0,,,,,
CT-RBG-2-84,1,50,4,0,0,,,,,
CT-RBG-2-84,1,40,1,689,49,,,,,
CT-RBG-2-84,1,40,2,0,0,,,,,
